genre,title,duration,url
SF,"𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭  서로가 서로에게 별이 되는 거리, 가사 없는 음악",1시간,https://www.youtube.com/watch?v=_XFeRhG3gow
SF,[독서용] SF소설을 읽는 밤,48분 38초,https://www.youtube.com/watch?v=qLWaMZ1DwCY
SF,"[𝙋𝙡𝙖𝙮𝙡𝙞𝙨𝙩] 소설 읽을 때, 글 쓸때 듣는 과몰입 플리 1시간 반복",1시간 1분 25초,https://www.youtube.com/watch?v=SLQ6eG5jlks
SF,귀환 | 포스트 아포칼립스 - 우주 감성 앰비언트 8곡 플레이리스트,35분 29초,https://www.youtube.com/watch?v=jTOcPBhs3R4
SF,𝐩𝐥𝐚𝐲𝐥𝐢𝐬𝐭 I Music without lyrics that is good to listen to while reading a book,1시간 1분 2초,https://www.youtube.com/watch?v=n2Y5eRTo4vI
SF,Ryan Choi - Dellage 1hour(신비스럽고 어두운 음악/글쓸때 듣기 좋은 음악/BGM),1시간 4분 24초,https://www.youtube.com/watch?v=r5QrJ23lxt8
SF,"[브금브금] 모험 탐험 미스테리 추리소설 읽을 때, 쓸 때 과몰입 서스펜스브금",56분 59초,https://www.youtube.com/watch?v=Kbkk07ebJu4
SF,Playlist l 돌아가고 싶은 세상이 있었다,1시간 4분 6초,https://www.youtube.com/watch?v=oY5Rfs_uEbU
SF,내가 책 읽을 때 듣는 누자베스 (Nujabes) 노래들 | 𝒑𝒍𝒂𝒚𝒍𝒊𝒔𝒕 | 예스24,1시간 1분 48초,https://www.youtube.com/watch?v=z3aS5AwhJSU
SF,[BGM] SF music 🤖 | Sci-fi vgeum | Bgeum for SF novels,42분 29초,https://www.youtube.com/watch?v=sbOcxtjeXvQ
